ZIPCODE,TOTAL STREET LENGTH,TOTAL BIKE LANE LENGTH,BIKE LANE DENSITY,NUM_DOCKS_AVAILABLE,TRIPS,NORMALIZED ACCIDENT COUNT,WHITE_POP %,POPULATION,ACCIDENT COUNT
11436,,,,,8192.65303582881,0.3783878050788695,7.031032369,17949.0,31.0
11213,146367.8052881346,28632.146154573,0.1956177869730898,,780.0,45.12820512820513,28.88014177,63767.0,352.0
11212,215912.7866870019,40575.90154719628,0.1879272745713627,,87326.23178831821,0.3813287178212423,11.17278107,84500.0,333.0
11225,114141.251960944,26079.8221249225,0.2284872618520629,149.0,6879.0,4.5646169501381015,31.43641451,56829.0,314.0
11218,208355.38999443376,24186.84500022374,0.1160845658990146,23.0,1186.0,28.66779089376054,62.26934326,75220.0,340.0
11226,176011.5064128156,23974.7341242822,0.1362111751265403,,193.0,260.62176165803106,16.69653054,101572.0,503.0
11219,203791.3230957452,16394.6472551423,0.0804482104836218,,85826.03681412857,0.3751775241554586,63.63409636,92221.0,322.0
11210,225502.5655054105,17088.7963189806,0.0757809397009746,,62787.522202857705,0.3695001679640111,33.35214811,62008.0,232.0
11230,248577.6006719692,16688.6402500075,0.0671365408825807,,78854.60686187308,0.3664972935648914,73.28488103,86408.0,289.0
11204,184140.5203777891,1960.114127993,0.010644664867741,,87024.45452982184,0.3619672213998821,56.14457215,78134.0,315.0
10471,283940.9730201282,26543.59655563364,0.0934827977565323,,8687.484074570986,0.3568351865039922,71.04528401,22922.0,31.0
10470,87525.9500621365,8856.5366975719,0.101187552849006,,7233.32512795284,0.3594474123598321,46.26299614,15293.0,26.0
10466,260803.299416547,30140.1477655613,0.1155665891995575,,38653.70628074789,0.3621903653511468,13.9619247,67813.0,140.0
10467,292828.1250970602,42778.67519684467,0.1460880001969255,,55549.511442176736,0.3618393659667508,29.18504018,97060.0,201.0
10463,197495.4532132671,13767.3830596182,0.0697098734964362,,64189.445718765746,0.7228737261275451,54.04296013,67970.0,232.0
10475,204613.50433679429,20356.55794805255,0.0994878515669503,,11938.97369765395,0.3601649613186571,16.72815226,40931.0,43.0
10464,217969.8194532998,36594.4227455218,0.1678875673582056,,14915.581470445784,1.0861227811825618,71.0189678,4534.0,54.0
10469,345591.7568724624,29398.74016923399,0.0850678281081899,,29845.623257856343,0.3652126781145628,20.55949933,66631.0,109.0
10468,144006.0187479464,24434.50812505387,0.1696769922361479,,63443.72275461431,0.3656784153371997,19.77057409,76103.0,232.0
10458,202997.8147200176,20597.64407214926,0.1014673192445855,,64138.99377656811,0.3632735505824568,19.22960801,79492.0,233.0
10034,91138.26958051424,23029.5070000028,0.2526875604068591,,850.0,12.823529411764708,45.8260512,38908.0,109.0
10033,117137.65195800913,28665.5845616258,0.2447170835548393,,2074.0,7.521697203471552,52.74635612,53926.0,156.0
10462,273243.4362015386,16214.8716822649,0.0593422184542619,,52962.756632362085,0.3606307755576536,25.17154017,75784.0,191.0
10040,68805.7591313466,31300.81088634567,0.4549155663931279,,1169.0,6.073567151411463,42.78487054,41905.0,71.0
10453,145954.9216773415,23928.5138070135,0.1639445489882938,,159.0,166.03773584905662,17.05934184,78309.0,264.0
10465,501023.6836338874,25271.5703563601,0.0504398717702669,,18381.564316274063,0.3590554039057878,67.08501066,42230.0,66.0
10461,337105.8257069716,22870.1468062002,0.067842632972116,,36351.43123714781,0.3658728019052143,52.82167043,50502.0,133.0
10457,199480.8146959615,38909.16287643612,0.1950521554453218,,1130.0,28.31858407079646,26.50079437,70496.0,320.0
10460,189664.3287951739,16008.3765207866,0.0844037285370339,,719.0,29.068150208623088,21.7270681,57311.0,209.0
10032,155324.8654676984,45331.22783059028,0.2918478486628236,,4142.0,5.577015934331241,33.95370742,57331.0,231.0
10452,191417.1001120838,39202.5383014594,0.2048016518822218,,1921.0,11.452368558042686,19.37217232,75371.0,220.0
10456,160885.123687877,33407.627201467,0.2076489512248442,,2629.0,9.509319132750097,16.49623904,86547.0,250.0
10472,176596.80066129708,5927.4266561718905,0.0335647454199375,,50857.71041783904,0.3657262556097255,13.89282377,66358.0,186.0
10031,90049.43740546695,12169.9209600261,0.1351471070855047,,5376.0,4.129464285714286,47.18097736,56438.0,222.0
10039,56903.607702746296,7208.9989146974,0.1266879061931512,,1291.0,6.9713400464756,23.48840054,24527.0,90.0
10459,138854.7838807826,35892.4671689241,0.2584892372144737,,1416.0,13.912429378531073,17.35224486,47308.0,197.0
10451,188273.0844322829,26941.2711068836,0.1430967744971198,,3714.0,9.800753904146474,24.21411852,45713.0,364.0
10473,295351.6505300331,48251.6446096685,0.163370153926944,,21410.102908110715,0.3643139892169856,34.12225089,58519.0,78.0
10030,43482.0652088404,5797.4927405386,0.1333306666252803,,3177.0,6.956248032735285,25.41945998,26999.0,221.0
10027,134625.2623968276,27862.0742658354,0.2069602225450664,372.0,20211.0,2.211666914056702,36.39439262,59707.0,447.0
10474,167429.76670654723,29567.18151327834,0.1765945333072135,,229.0,15.283842794759826,18.26398502,12281.0,35.0
10455,101429.5753477659,21741.8704613062,0.2143543477014575,,2156.0,10.85343228200371,20.98323459,39665.0,234.0
10037,55030.28349159193,10573.71604301374,0.1921435866240684,,1952.0,5.532786885245901,17.64469453,17416.0,108.0
10024,116934.6559834891,36555.87186632601,0.3126179451153267,53.0,54566.0,0.3610306784444526,87.3015873,59283.0,197.0
10454,168010.6774922228,27153.1719943525,0.1616157520441486,,2311.0,8.567719601903939,21.84963977,37337.0,198.0
