Zipcode,White_Pop %,Population
10998,103.5233824,3122
11001,65.53584049,26883
11003,26.79659542,41356
11004,40.01141553,14016
11005,118.3277962,1806
11010,82.04105621,23821
11020,41.27494082,5914
11021,71.21665069,17729
11023,88.12451534,9027
11024,83.57910522,8002
11030,82.39060238,17962
11040,52.19949978,40782
11042,60.76923077,520
11050,80.76629876,30171
11096,42.76126558,8344
11101,61.49741014,25484
11102,52.76711687,34133
11103,66.87725632,38780
11104,60.96136898,27232
11105,82.27485826,36688
11106,57.79807074,38875
11109,108.2032359,3523
11201,88.07698326,51128
11203,5.75130622,76174
11204,56.14457215,78134
11205,67.43051083,40366
11206,54.12417204,81677
11207,16.22298846,93386
11208,27.25232616,94469
11209,75.20079009,68853
11210,33.35214811,62008
11211,88.02334743,90117
11212,11.17278107,84500
11213,28.88014177,63767
11214,51.19485502,88630
11215,89.2578125,63488
11216,41.73540025,54316
11217,76.95158998,35881
11218,62.26934326,75220
11219,63.63409636,92221
11220,30.71246411,99598
11221,32.43044553,78895
11222,85.58780527,36934
11223,60.43997917,78731
11224,56.37218874,47621
11225,31.43641451,56829
11226,16.69653054,101572
11228,58.86618168,41788
11229,67.96970682,80018
11230,73.28488103,86408
11231,82.07043437,33336
11232,46.04988502,28265
11233,18.20351066,67053
11234,42.17441344,87757
11235,76.61123187,79132
11236,6.586277789,93877
11237,38.73857624,49896
11238,68.04433438,49262
11239,27.77570373,13393
11351,,0
11354,20.69864062,54878
11355,13.84635092,85871
11356,34.52086355,23438
11357,69.7394636,39150
11358,41.18414745,37546
11359,,0
11360,62.1160771,18884
11361,49.03167168,28606
11362,50.75464288,17823
11363,59.81682885,6988
11364,43.46404283,34555
11365,39.42298589,42252
11366,41.46467632,13532
11367,56.01871026,41047
11368,35.13021805,109931
11369,24.36617895,38615
11370,34.29500101,39688
11371,,0
11372,54.29797707,66636
11373,17.80995834,100820
11374,56.1559633,43600
11375,67.24571894,68733
11377,45.81542914,89830
11378,78.04808325,34981
11379,85.12391947,34821
11385,85.78586498,98592
11411,5.987281742,18556
11412,4.105269193,34882
11413,3.328022204,38912
11414,86.62612819,26148
11415,61.94095445,19341
11416,35.45714171,24861
11417,39.53464287,28967
11418,46.02548544,36256
11419,12.02474,47211
11420,19.45033142,44354
11421,47.46850001,39127
11422,10.03122432,30425
11423,13.68593057,29987
11424,inf,0
11425,,0
11426,43.67822626,17590
11427,26.43156869,23593
11428,22.05237896,19168
11429,6.1621191,25105
11430,27.7173913,184
11432,22.3716884,60809
11433,7.938935968,32687
11434,5.807640921,59129
11435,22.06120662,53687
11436,7.031032369,17949
11451,,0
11501,79.17275956,19148
11507,56.75128274,7406
11509,64.15378816,2653
11510,51.17707577,33048
11514,81.4680077,4673
11516,93.62096347,7556
11518,76.1967959,10549
11520,54.35499873,43341
11530,91.68041653,27273
11542,74.47978866,27633
11545,91.43804393,12065
11547,67.21311475,793
11548,49.78417266,2780
11549,68.78850103,2922
11550,19.28058829,56435
11552,65.80284553,23616
11553,43.40093724,26034
11554,72.1965803,38132
11556,0,17
11557,78.7933018,7823
11558,85.16129032,8370
11559,87.51223092,8176
11560,99.87623762,6464
11561,87.31759657,37280
11563,78.65525457,22666
11565,91.7146145,8690
11566,89.50765833,35321
11568,69.87925357,4555
11569,84.04864092,1398
11570,83.70862418,26646
11572,87.87204815,30574
11575,23.820059,16272
11576,78.57836002,12366
11577,75.09118911,12337
11579,97.60633037,5055
11580,37.31209334,40113
11581,50.69564383,20844
11590,51.87467226,45768
11596,77.10877863,10480
11598,94.95798319,13328
11691,42.47688848,60035
11692,31.21898598,18540
11693,72.0040282,11916
11694,87.55880047,20408
11697,82.37313067,4079
11701,45.85930872,27109
11702,93.49565457,14498
11703,80.86506244,16415
11704,76.7241808,40222
11705,94.28393524,8030
11706,64.74905265,62543
11709,98.77043035,6669
11710,90.57861781,34496
11713,56.35996539,10401
11714,85.5768382,22658
11715,89.47811448,4752
